host	logname	time	method	url	response	bytes	referer	useragent
n106.napa.community.net	-	804630361	GET	/shuttle/technology/images/et_1-small.gif	200	35624		
dal569.computek.net	-	804630680	GET	/history/apollo/apollo-13/images/70HC517.GIF	200	140644		
ix-sea5-25.ix.netcom.com	-	804631072	GET	/history/apollo/apollo-11/images/69HC913.GIF	200	74149		
slip-3-19.shore.net	-	804631267	GET	/shuttle/missions/sts-71/movies/sts-71-launch-3.mpg	200	49152		
dd01-026.compuserve.com	-	804631380	GET	/history/apollo/apollo-13/apollo-13-patch.jpg	200	49152		
134.193.52.82	-	804631526	GET	/shuttle/missions/sts-71/images/KSC-95EC-0891.jpg	200	80678		
amherst-ts-08.nstn.ca	-	804631565	GET	/history/history.html	200	1502		
hfxpm1-d147.atcon.com	-	804631599	GET	/history/apollo/apollo.html	200	3258		
ix-prn1-04.ix.netcom.com	-	804631792	GET	/history/apollo/apollo-17/	200	1732		
ix-prn1-04.ix.netcom.com	-	804631875	GET	/history/apollo/apollo-17/images/721200.GIF	200	118869		
lub13.onramp.net	-	804631976	GET	/images/KSC-logosmall.gif	200	1204		
204.117.201.58	-	804632039	GET	/elv/PEGASUS/minpeg1.gif	200	1055		
wwwproxy.sanders.com	-	804632411	GET	/shuttle/missions/sts-30/mission-sts-30.html	200	5812		
sydney-ts-19.nstn.ca	-	804632757	GET	/ksc.html	200	7074		
tuna.hooked.net	-	804632777	GET	/shuttle/missions/sts-71/images/KSC-95EC-0876.jpg	200	87766		
198.168.161.104	-	804632846	GET	/shuttle/missions/51-l/docs/	200	368		
via-annex0-34.cl.msu.edu	-	804632883	GET	/shuttle/missions/sts-71/movies/movies.html	200	3092		
194.64.178.66	-	804632919	GET	/shuttle/missions/sts-71/images/KSC-95EC-0911.gif	200	31242		
ix-bos9-12.ix.netcom.com	-	804632964	GET	/cgi-bin/imagemap/countdown?257,262	302	85		
ix-den14-15.ix.netcom.com	-	804633063	GET	/shuttle/resources/orbiters/atlantis-logo.gif	200	4179		
dd05-015.compuserve.com	-	804633066	GET	/shuttle/missions/sts-71/images/images.html	200	7634		
annex1s47.urc.tue.nl	-	804633124	GET	/images/KSC-logosmall.gif	200	1204		
line10.pm1.abb.mindlink.net	-	804633162	GET	/shuttle/technology/images/srb_mod_compare_1-small.gif	200	36902		
ts2-p08.dialup.iway.fr	-	804633233	GET	/images/NASA-logosmall.gif	304	0		
dd03-015.compuserve.com	-	804633237	GET	/history/early-astronauts.txt	200	3850		
drjo017a151.embratel.net.br	-	804633241	GET	/images/ksclogo-medium.gif	200	5866		
ix-prn1-04.ix.netcom.com	-	804633245	GET	/history/apollo/apollo-17/images/72HC971.GIF	200	140745		
ibm07.micro.umn.edu	-	804633482	GET	/images/MOSAIC-logosmall.gif	200	363		
ppp-nyc-1-3.ios.com	-	804633685	GET	/icons/text.xbm	200	527		
net-1-166.eden.com	-	804633790	GET	/icons/text.xbm	304	0		
ppp-nyc-1-3.ios.com	-	804633831	GET	/history/apollo/apollo-spacecraft.txt	200	2261		
194.166.2.5	-	804633966	GET	/	200	7074		
dd04-048.compuserve.com	-	804634090	GET	/shuttle/missions/missions.html	200	8677		
drjo005a148.embratel.net.br	-	804634122	GET	/shuttle/missions/sts-70/mission-sts-70.html	200	13470		
t0.dialup.peg.apc.org	-	804634186	GET	/history/apollo/apollo-8/apollo-8.html	200	3549		
dd06-015.compuserve.com	-	804634456	GET	/history/apollo/apollo-13/sounds/a13_004.wav	200	66764		
www-d2.proxy.aol.com	-	804634709	GET	/shuttle/missions/missions.html	200	8677		
m029.fn.net	-	804634873	GET	/cgi-bin/imagemap/countdown?98,148	302	96		
wem05.itc.uiowa.edu	-	804634881	GET	/shuttle/countdown/	200	3985		
ip109.san-diego.ca.interramp.com	-	804635050	GET	/history/apollo/images/apollo-logo.gif	200	3047		
198.165.254.13	-	804635459	GET	/shuttle/missions/sts-65/sts-65-patch-small.gif	200	11757		
drjo022a246.embratel.net.br	-	804635562	GET	/images/ksclogosmall.gif	200	3635		
dialup165.cc.columbia.edu	-	804635596	GET	/history/apollo/apollo-13/	200	1732		
mystic.ppp.ablecom.net	-	804635611	GET	/images/KSC-logosmall.gif	200	1204		
f182-051.net.wisc.edu	-	804635721	GET	/shuttle/missions/sts-74/mission-sts-74.html	200	3708		
dffl6-22.gate.net	-	804636205	GET	/	200	7074		
palmer08.corcom.com	-	804636241	GET	/shuttle/missions/sts-71/sts-71-day-01-highlights.html	200	2722		
ppp170.iadfw.net	-	804636290	GET	/history/apollo/apollo.html	200	3258		
ppp170.iadfw.net	-	804636312	GET	/history/apollo/apollo-13/apollo-13-patch-small.gif	200	12859		
palmer08.corcom.com	-	804636318	GET	/history/mercury/mr-3/mr-3.html	200	1124		
piweba3y.prodigy.com	-	804636807	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
c38.ucs.usl.edu	-	804637400	GET	/shuttle/missions/sts-71/images/KSC-95EC-0911.jpg	200	45966		
p11.superlink.net	-	804637518	GET	/shuttle/missions/sts-71/images/KSC-95EC-0917.gif	200	30995		
os-ppp2.datasync.com	-	804637733	GET	/images/NASA-logosmall.gif	200	786		
ip161.san-francisco.ca.interramp.com	-	804637800	GET	/msfc/astro_home.html	200	2938		
sbery.worldbank.org	-	804637905	GET	/shuttle/countdown/	200	3985		
ligea.sc.intel.com	-	804637962	GET	/shuttle/resources/orbiters/atlantis-logo.gif	200	4179		
www.mclink.it	-	804638118	GET	/shuttle/missions/sts-67/images/KSC-95EC-0381.gif	200	211329		
slip4041.sirius.com	-	804638263	GET	/images/NASA-logosmall.gif	200	786		
ip167.phx.primenet.com	-	804638351	GET	/history/apollo/apollo-13/	200	1732		
cust57.max5.san-francisco.ca.ms.uu.net	-	804638367	GET	/shuttle/missions/sts-71/mission-sts-71.html	200	12169		
concomm.netkonect.co.uk	-	804638394	GET	/shuttle/countdown/video/livevideo.gif	200	67961		
ppp201.iadfw.net	-	804639288	GET	/images/shuttle-patch-small.gif	200	4179		
piweba4y.prodigy.com	-	804639325	GET	/shuttle/missions/missions.html	200	8677		
ix-aus2-12.ix.netcom.com	-	804639635	GET	/shuttle/missions/sts-71/images/images.html	200	7634		
merc1.calon.com	-	804639742	GET	/images/ksclogo-medium.gif	200	5866		
194.47.161.45	-	804639750	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
www-b3.proxy.aol.com	-	804639916	GET	/	200	7074		
dialin-195.wustl.edu	-	804640495	GET	/history/apollo/apollo-11/apollo-11.html	200	41397		
129.105.11.13	-	804640497	GET	/images/lc39a-logo.gif	200	13116		
exocet.demon.co.uk	-	804640534	GET	/history/apollo/images/apollo-logo.gif	200	3047		
dialin-195.wustl.edu	-	804640574	GET	/history/apollo/images/footprint-small.gif	200	18149		
pc9.kb-pm2-1.eunet.no	-	804640610	GET	/images/launch-logo.gif	304	0		
204.131.233.9	-	804640652	GET	/shuttle/countdown/countdown.html	200	3985		
ppp-nj-32.hili.com	-	804640963	GET	/shuttle/countdown/count.gif	200	40310		
